shape,scale0,beta1
6.158866192196118,739.9578173711133,0.0
4.692807297413476,770.9828084684098,0.0
5.12948020050171,746.1300427185955,0.0
5.161571679925514,813.4952620856217,0.0
3.96026249206516,722.034714045544,0.0
4.862781067095329,758.1176994221398,0.0
6.519152656098957,771.953162186719,0.0
5.426326611912957,815.5517635838303,0.0
4.216519302299427,851.7230023957302,0.0
4.737289135610267,759.5754346998979,0.0
4.243161000384384,839.3274185273342,0.0
3.36047835744888,733.7678169712568,0.0
6.601167847407152,716.8787324691873,0.0
4.980297407975287,807.1309411554508,0.0
4.618910117248799,801.6420685492427,0.0
5.363235116381535,742.6939234692169,0.0
2.9699615906856254,813.3709743598768,0.0
4.560552894899075,723.3448996305242,0.0
5.60441136157354,814.831890330188,0.0
5.465954812116098,698.9442586020746,0.0
7.254815668172731,790.294835755494,0.0
5.437078447720572,756.4280980983198,0.0
5.076932581644948,741.6197203451969,0.0
5.832176672674121,769.6457360008358,0.0
6.440929311759721,784.9267450301036,0.0
5.6829935974278944,823.8219293143276,0.0
6.971449878907208,738.183996039167,0.0
5.850182733744998,810.8746664399243,0.0
6.214741948742762,792.3117325787815,0.0
3.981612297205011,861.088196872419,0.0
5.7411603261925315,782.1085643923124,0.0
4.978284968116775,763.653645355226,0.0
5.2012276674910245,826.0016368028384,0.0
5.502233661229354,730.2717710677241,0.0
7.094460879943755,728.5149998484067,0.0
7.358890247387494,743.551755625725,0.0
4.567042084288065,797.9973400342933,0.0
5.712474958908495,791.651371544541,0.0
5.758895025525688,792.4561931056824,0.0
4.722481508827989,805.8379142125463,0.0
4.033144174706127,829.7770733817989,0.0
3.521489132574889,834.6585943335537,0.0
5.868651386588018,773.9158667311337,0.0
5.062347311969961,807.8744355862217,0.0
7.397370059714693,795.8158536687811,0.0
5.019000356707224,783.9711480070473,0.0
7.225961759953075,720.2078392738637,0.0
4.873509340177459,857.3671012870553,0.0
5.906389639051735,785.1539090975295,0.0
3.7871223863102954,908.4636431720749,0.0
5.284176454295746,678.6318652114568,0.0
5.975239281442184,751.6027544681474,0.0
6.5560239749359335,776.9030922643767,0.0
6.0099521571105905,813.6732143265727,0.0
3.4819062066627904,927.6038751329246,0.0
4.820825308164003,706.258095618439,0.0
3.6148800070837748,743.5811056778878,0.0
3.938299681568277,787.0165164940848,0.0
5.591406619811253,749.2715243464054,0.0
5.688079542188881,767.151511912794,0.0
5.871747861420263,749.2129685355969,0.0
6.211527081228688,777.4757445224607,0.0
5.77879674514503,718.1242443432438,0.0
5.986601728365421,742.7113961563002,0.0
3.622418161297651,750.6211549060133,0.0
4.436032531258687,792.5636287392377,0.0
5.423962582847585,763.1765304235132,0.0
6.161870624701451,821.2977212137324,0.0
2.854167216737112,696.912755483455,0.0
5.131473224520131,880.6785312793724,0.0
5.556047366191728,762.4006277168994,0.0
3.3935381032635172,775.9487044494866,0.0
4.8756198281571095,773.4739607453005,0.0
6.369066704850021,798.0996359781035,0.0
5.583747256039685,721.4308207816953,0.0
4.394154954078341,817.0004688166536,0.0
6.162597812218563,762.3419877786398,0.0
4.7019145681703565,816.5480193580075,0.0
6.18079739437519,766.1707811003592,0.0
4.626096945393298,746.7044127807978,0.0
5.314371994768169,803.3000747852818,0.0
4.8632175566029625,750.7850551993661,0.0
4.4940719539090015,840.1879879635294,0.0
6.331750155467993,794.9515361919048,0.0
4.286046112241169,798.3559253349572,0.0
3.823011147780493,906.2594995630212,0.0
4.699653885587318,778.6583995873581,0.0
5.674528780884133,793.5084535341884,0.0
5.959545568375089,790.9279045154967,0.0
8.308049073010869,769.7423581786854,0.0
4.596976022897278,722.556146769488,0.0
4.844351435792153,813.2078330412486,0.0
4.045021736360211,844.3163557496486,0.0
5.2811861518316086,860.3492841283012,0.0
8.12024282080555,712.5443885991622,0.0
5.6310070327108095,794.0025419559782,0.0
5.389390078132803,690.044681181213,0.0
4.868053925380291,690.4583929008955,0.0
6.521879846332164,748.4848632400657,0.0
5.1281470942507665,732.5953858917933,0.0
4.040054780899151,810.8451320594073,0.0
4.760211662687683,797.8905305502019,0.0
3.7084836479865357,850.022878577775,0.0
4.328193533185848,790.2001050642984,0.0
3.221819982926196,855.8259045596639,0.0
4.982324892454773,901.8481466280015,0.0
5.477280046626518,715.7877780307765,0.0
4.7151033068937105,785.935811410049,0.0
4.931049212127808,769.7280822132584,0.0
6.943381025892225,734.6435509941678,0.0
5.767863547369791,810.9201667391425,0.0
5.240485523009486,753.326285701508,0.0
4.581649152009005,775.6883136080081,0.0
6.372385410322685,839.6867493760986,0.0
4.390416462077744,794.8725269331953,0.0
4.649471962355372,793.5549064485353,0.0
6.486251184893281,762.812670989266,0.0
5.1462891586431505,801.637334755786,0.0
