vin,failed,feature,z,coef,contribution,risk_linear
VIN3_NF_ALT,0,vsi_std_ratio_30d,0.5837307450746648,0.4425695736208663,0.258341466957085,-0.1304308005605712
VIN3_NF_ALT,0,vsi_dominant_freq,-0.3865097912317732,0.42647078444619546,-0.16483513386274956,-0.1304308005605712
VIN3_NF_ALT,0,vsi_spectral_entropy,0.10465232484859939,0.24469663435810277,0.025608071668203117,-0.1304308005605712
VIN3_NF_ALT,0,bat_charge_delta_trend_right,-0.02972275483727044,0.2239905561523778,-0.006657616386380984,-0.1304308005605712
VIN3_NF_ALT,0,vsi_range_trend_last30d,-0.5142657618260094,0.22990434918910724,-0.11823193528284912,-0.1304308005605712
VIN3_NF_ALT,0,progressive_drift,-0.36662804028263174,-0.2055062299327614,0.07534434634612024,-0.1304308005605712
VIN4_NF_ALT,0,vsi_std_ratio_30d,-0.23413885345729507,0.4425695736208663,-0.10362273254267358,-0.353785765605026
VIN4_NF_ALT,0,vsi_dominant_freq,-0.3274657719827146,0.42647078444619546,-0.13965458465674727,-0.353785765605026
VIN4_NF_ALT,0,vsi_spectral_entropy,0.36136070712681695,0.24469663435810277,0.08842374882319619,-0.353785765605026
VIN4_NF_ALT,0,bat_charge_delta_trend_right,0.4724606618935361,0.2239905561523778,0.10582672641765369,-0.353785765605026
VIN4_NF_ALT,0,vsi_range_trend_last30d,-0.13255050027979576,0.22990434918910724,-0.03047393650151702,-0.353785765605026
VIN4_NF_ALT,0,progressive_drift,0.36147316394857265,-0.2055062299327614,-0.07428498714493813,-0.353785765605026
VIN5_NF_ALT,0,vsi_std_ratio_30d,-0.7533553427475593,0.4425695736208663,-0.3334121528247889,-0.7570961553523934
VIN5_NF_ALT,0,vsi_dominant_freq,-0.20729059268622785,0.42647078444619546,-0.08840338167121238,-0.7570961553523934
VIN5_NF_ALT,0,vsi_spectral_entropy,0.25745060515895957,0.24469663435810277,0.06299729659585422,-0.7570961553523934
VIN5_NF_ALT,0,bat_charge_delta_trend_right,-0.2438427243568611,0.2239905561523778,-0.054618467442404284,-0.7570961553523934
VIN5_NF_ALT,0,vsi_range_trend_last30d,-0.028052258304047843,0.22990434918910724,-0.006449336188676848,-0.7570961553523934
VIN5_NF_ALT,0,progressive_drift,0.6676688773185047,-0.2055062299327614,-0.1372101138211653,-0.7570961553523934
VIN6_NF_ALT,0,vsi_std_ratio_30d,-0.7706698551591509,0.4425695736208663,-0.3410750292002402,-0.43201740277468886
VIN6_NF_ALT,0,vsi_dominant_freq,-0.39126298289303846,0.42647078444619546,-0.16686223123915248,-0.43201740277468886
VIN6_NF_ALT,0,vsi_spectral_entropy,0.5262279066740569,0.24469663435810277,0.12876619766845154,-0.43201740277468886
VIN6_NF_ALT,0,bat_charge_delta_trend_right,0.42746777430893895,0.2239905561523778,0.09574874450467835,-0.43201740277468886
VIN6_NF_ALT,0,vsi_range_trend_last30d,-0.26308129667959723,0.22990434918910724,-0.06048353429694924,-0.43201740277468886
VIN6_NF_ALT,0,progressive_drift,-0.5444528364182987,-0.2055062299327614,0.11188844978852303,-0.43201740277468886
VIN7_NF_ALT,0,vsi_std_ratio_30d,0.20172220896501777,0.4425695736208663,0.0892761120115072,-0.3997209785958214
VIN7_NF_ALT,0,vsi_dominant_freq,-0.3776799850236155,0.42647078444619546,-0.16106947948264866,-0.3997209785958214
VIN7_NF_ALT,0,vsi_spectral_entropy,-0.22370213375088802,0.24469663435810277,-0.054739159227568446,-0.3997209785958214
VIN7_NF_ALT,0,bat_charge_delta_trend_right,0.41601569204867295,0.2239905561523778,0.09318358623009859,-0.3997209785958214
VIN7_NF_ALT,0,vsi_range_trend_last30d,-0.3443355243499413,0.22990434918910724,-0.07916423462836324,-0.3997209785958214
VIN7_NF_ALT,0,progressive_drift,0.4243560087077655,-0.2055062299327614,-0.08720780349884696,-0.3997209785958214
VIN8_NF_ALT,0,vsi_std_ratio_30d,0.2660255473911463,0.4425695736208663,0.11773481308115719,-0.488115717574043
VIN8_NF_ALT,0,vsi_dominant_freq,-0.3993792929611684,0.42647078444619546,-0.1703236003607164,-0.488115717574043
VIN8_NF_ALT,0,vsi_spectral_entropy,-0.7270226725050231,0.24469663435810277,-0.17790000106401233,-0.488115717574043
VIN8_NF_ALT,0,bat_charge_delta_trend_right,-0.3343749926777089,0.2239905561523778,-0.07489684057332728,-0.488115717574043
VIN8_NF_ALT,0,vsi_range_trend_last30d,-0.34649588444432267,0.22990434918910724,-0.07966091080987611,-0.488115717574043
VIN8_NF_ALT,0,progressive_drift,-0.47166853376876305,-0.2055062299327614,0.09693082215273185,-0.488115717574043
VIN9_NF_ALT,0,vsi_std_ratio_30d,0.18186434605160454,0.4425695736208663,0.0804876260888963,-1.0943617087924402
VIN9_NF_ALT,0,vsi_dominant_freq,-0.38346946717090585,0.42647078444619546,-0.16353852447554082,-1.0943617087924402
VIN9_NF_ALT,0,vsi_spectral_entropy,-4.321309212581622,0.24469663435810277,-1.057409820339386,-1.0943617087924402
VIN9_NF_ALT,0,bat_charge_delta_trend_right,1.1416995186666206,0.2239905561523778,0.2557299101450384,-1.0943617087924402
VIN9_NF_ALT,0,vsi_range_trend_last30d,-0.7449749279204704,0.22990434918910724,-0.17127297596575783,-1.0943617087924402
VIN9_NF_ALT,0,progressive_drift,-0.7865555988604176,-0.2055062299327614,0.16164207575430983,-1.0943617087924402
VIN10_NF_ALT,0,vsi_std_ratio_30d,-0.561633988093153,0.4425695736208663,-0.24856211464137343,-0.3056131497246125
VIN10_NF_ALT,0,vsi_dominant_freq,-0.3289501245582373,0.42647078444619546,-0.14028761766402517,-0.3056131497246125
VIN10_NF_ALT,0,vsi_spectral_entropy,0.2729184092368633,0.24469663435810277,0.06678221619462779,-0.3056131497246125
VIN10_NF_ALT,0,bat_charge_delta_trend_right,0.637414786742701,0.2239905561523778,0.1427748925822469,-0.3056131497246125
VIN10_NF_ALT,0,vsi_range_trend_last30d,0.2935817163914002,0.22990434918910724,0.06749571344078592,-0.3056131497246125
VIN10_NF_ALT,0,progressive_drift,-0.03009037908558092,-0.2055062299327614,0.0061837603631253475,-0.3056131497246125
VIN11_NF_ALT,0,vsi_std_ratio_30d,-1.0468977844196774,0.4425695736208663,-0.46332510607524624,-1.0569601246413496
VIN11_NF_ALT,0,vsi_dominant_freq,0.15440765102007584,0.42647078444619546,0.06585035205502614,-1.0569601246413496
VIN11_NF_ALT,0,vsi_spectral_entropy,-0.0029989619661180042,0.24469663435810277,-0.0007338358996770342,-1.0569601246413496
VIN11_NF_ALT,0,bat_charge_delta_trend_right,-1.2213657379146723,0.2239905561523778,-0.27357439090096675,-1.0569601246413496
VIN11_NF_ALT,0,vsi_range_trend_last30d,-0.48116415967559506,0.22990434918910724,-0.11062173298334135,-1.0569601246413496
VIN11_NF_ALT,0,progressive_drift,0.3627890544317708,-0.2055062299327614,-0.07455541083714458,-1.0569601246413496
VIN12_NF_ALT,0,vsi_std_ratio_30d,1.2413395064003339,0.4425695736208663,0.5493790960663324,-1.2117351308468272
VIN12_NF_ALT,0,vsi_dominant_freq,-0.31892034703464067,0.42647078444619546,-0.1360102105757161,-1.2117351308468272
VIN12_NF_ALT,0,vsi_spectral_entropy,-1.3035909668248935,0.24469663435810277,-0.31898432216167666,-1.2117351308468272
VIN12_NF_ALT,0,bat_charge_delta_trend_right,0.04339333582403104,0.2239905561523778,0.009719697424531612,-1.2117351308468272
VIN12_NF_ALT,0,vsi_range_trend_last30d,-0.8819534493336778,0.22990434918910724,-0.20276493378414745,-1.2117351308468272
VIN12_NF_ALT,0,progressive_drift,4.443050014176677,-0.2055062299327614,-0.913074457816151,-1.2117351308468272
VIN13_NF_ALT,0,vsi_std_ratio_30d,-1.1855670613294673,0.4425695736208663,-0.5246959088315258,-1.2640578740211557
VIN13_NF_ALT,0,vsi_dominant_freq,-0.40060748998069995,0.42647078444619546,-0.1708473905070905,-1.2640578740211557
VIN13_NF_ALT,0,vsi_spectral_entropy,-0.04042043037037033,0.24469663435810277,-0.009890743270935662,-1.2640578740211557
VIN13_NF_ALT,0,bat_charge_delta_trend_right,0.03925149978978746,0.2239905561523778,0.008791965267729435,-1.2640578740211557
VIN13_NF_ALT,0,vsi_range_trend_last30d,-1.301151886729377,0.22990434918910724,-0.2991404777146964,-1.2640578740211557
VIN13_NF_ALT,0,progressive_drift,0.3322299230878571,-0.2055062299327614,-0.0682753189646368,-1.2640578740211557
VIN14_NF_ALT,0,vsi_std_ratio_30d,-1.1038044848520479,0.4425695736208663,-0.4885102802217708,-0.7966416659859203
VIN14_NF_ALT,0,vsi_dominant_freq,-0.38565552626467015,0.42647078444619546,-0.1644708148121042,-0.7966416659859203
VIN14_NF_ALT,0,vsi_spectral_entropy,0.36671045838134625,0.24469663435810277,0.08973281494983254,-0.7966416659859203
VIN14_NF_ALT,0,bat_charge_delta_trend_right,0.1261308322234411,0.2239905561523778,0.028252115257690828,-0.7966416659859203
VIN14_NF_ALT,0,vsi_range_trend_last30d,-0.18863122868684712,0.22990434918910724,-0.04336713986799124,-0.7966416659859203
VIN14_NF_ALT,0,progressive_drift,0.08894310064253518,-0.2055062299327614,-0.01827836129157757,-0.7966416659859203
VIN15_NF_ALT,0,vsi_std_ratio_30d,0.07951738394948057,0.4425695736208663,0.035191974709968335,-0.5431351056889808
VIN15_NF_ALT,0,vsi_dominant_freq,-0.38710807230215866,0.42647078444619546,-0.16509028326015615,-0.5431351056889808
VIN15_NF_ALT,0,vsi_spectral_entropy,0.11148631273986687,0.24469663435810277,0.027280325504440296,-0.5431351056889808
VIN15_NF_ALT,0,bat_charge_delta_trend_right,-1.7874984027434455,0.2239905561523778,-0.40038276135199136,-0.5431351056889808
VIN15_NF_ALT,0,vsi_range_trend_last30d,0.025884512332024334,0.22990434918910724,0.005950961961771475,-0.5431351056889808
VIN15_NF_ALT,0,progressive_drift,-0.7489538239173822,-0.2055062299327614,0.15391467674698645,-0.5431351056889808
